codigo_act,municipio,Nombre,encontrada,denue,ageb.x,cp,estado,localidad.x,id,clee,nom_estab,raz_social,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,municipio.y,cve_loc,localidad.y,ageb.y,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
311110,17,NUTRIGAFER SA DE CV,NUTRIGAFER SA DE CV,NUTRIGAFER SA DE CV,697,31520,8,1,9345358,09017311110000045000000000U1,PROVEEDORAH Y H,PROVEEDORA HYH SA DE CV,Elaboración de alimentos para animales,51 a 100 personas,EJE VIAL,1 ORIENTE CALZADA DE LA VIGA,CALLE,PROLONGACIÓN ROA BÁRCENAS,CALLE,YUNQUE,CALLE,TORNO,206,,,,,,COLONIA,ARTES GRAFICAS,,,,NA,9,CIUDAD DE MÉXICO,Venustiano Carranza,1,Venustiano Carranza,1312,1,,,WWW.PHAYH.MX,Fijo,19.41202316,-99.12755665,2021-05
311110,17,NUTRIGAFER SA DE CV,NUTRIGAFER SA DE CV,NUTRIGAFER SA DE CV,697,31520,8,1,2888354,18017311110000032001026331S8,FORRAJES Y ALIMENTOS SAN CAYETANO,FORRAJES Y ALIMENTOS SAN CAYETANO S DE RL DE CV,Elaboración de alimentos para animales,11 a 30 personas,CALLE,PLATINO,BOULEVARD,LUIS DONALDO COLOSIO,CALLE,GIRASOLES,CALLE,NARDO,19,,,,0,,OTRO (ESPECIFIQUE),CIUDAD INDUSTRIAL,,,,63195,18,NAYARIT,Tepic,1,Tepic,972,27,,FORRAJESSANCAYETANO@HOTMAIL.COM,,Fijo,21.47609727,-104.8550695,2010-07
311110,17,NUTRIGAFER SA DE CV,NUTRIGAFER SA DE CV,NUTRIGAFER SA DE CV,697,31520,8,1,6268920,18008311110000033100020734S5,FORRAJES BARAJAS,FORRAJES BARAJAS SA DE CV,Elaboración de alimentos para animales,11 a 30 personas,CARRETERA,CAMINO REFUGIO-TRIGOMIL MARGEN IZQUIERDO,OTRO (ESPECIFIQUE),SIN REFERENCIA,OTRO (ESPECIFIQUE),SIN REFERENCIA,OTRO (ESPECIFIQUE),MANZANA 800,0,SN,,,0,,NINGUNO,TRIGOMIL,,,,63791,18,NAYARIT,Tepic,413,Crucero de Trigomil,417,800,,FORRAJESBARAJAS@HOTMAIL.COM,WWW.FORRAJESBARAJAS.COM.MX,Fijo,21.41821997,-104.7852324,2014-12
311110,17,NUTRIGAFER SA DE CV,NUTRIGAFER SA DE CV,NUTRIGAFER SA DE CV,697,31520,8,1,6363514,18017311110000053001007988S4,FÁBRICA NUEVA Y CILOS,AGROPECUARIA EL AVION SPR DE RL,Elaboración de alimentos para animales,31 a 50 personas,AVENIDA,AGUAMILPA,AVENIDA,SIN REFERENCIA,OTRO (ESPECIFIQUE),AGUAMILPA,OTRO (ESPECIFIQUE),SIN REFERENCIA,375,,,,0,,COLONIA,CIUDAD INDUSTRIAL,,,,63163,18,NAYARIT,Tepic,1,Tepic,811,11,,ELAVIONALOPEZ@HOTMAIL.COM,WWW.AGROPECUARIAELAVION.COM,Fijo,21.48336524,-104.8445005,2014-12
311110,17,NUTRIGAFER SA DE CV,NUTRIGAFER SA DE CV,NUTRIGAFER SA DE CV,697,31520,8,1,6864132,18017434112000391011020734S6,FORRAJES BARAJAS,FORRAJES BARAJAS SA DE CV,Elaboración de alimentos para animales,6 a 10 personas,AVENIDA,BONATERRA,CALLE,PASEO DE LOS ROBLES,CALLE,CARRETERA TEPIC-GUADALAJARA,CALLE,LIRIO,66,,,,0,,FRACCIONAMIENTO,BONATERRA,,,,63194,18,NAYARIT,Tepic,1,Tepic,2292,1,,FORRAJESBARAJAS@HOTMAIL.COM,WWW.FORRAJESBARAJAS.COM.MX,Fijo,21.46682373,-104.8424753,2019-04
331510,104,Altzairu,ALTZAIRU,FUNDICIONES ALTZAIRU,2169,54180,15,1,6354371,15104331510000096002000000U9,INDUSTRIAS MEMPER SA DE CV,INDUSTRIAS MEMPER SA DE CV,Moldeo por fundición de piezas de hierro y acero,101 a 250 personas,AVENIDA,RÍO LERMA,CALLE,ROBERTO FULTON,CALLE,TENAYUCA,CALLE,ANTONIO M. RIVERA,169,,,,,,COLONIA,CENTRO INDUSTRIAL TLALNEPANTLA,,,,54030,15,MÉXICO                      ,Tlalnepantla de Baz,1,Tlalnepantla,1870,3,,RLEON@MEMPER.COM.MX,,Fijo,19.54734424,-99.20220899,2010-07
331510,104,Altzairu,ALTZAIRU,FUNDICIONES ALTZAIRU,2169,54180,15,1,6354716,15104331510000074001000000U6,SOCIEDAD COOPERATIVA DE PRODUCCION JACARANDAS SCL,SOCIEDAD COOPERATIVA DE PRODUCCION JACARANDAS SOCIEDADES COPERATIVAS DELIMITADAS,Moldeo por fundición de piezas de hierro y acero,51 a 100 personas,CALLE,IGNACIO LÓPEZ,CALLE,EMILIANO ZAPATA,CALLE,PÍPILA,CALLE,SEBASTIÁN LERDO DE TEJADA,7,,,,0,,COLONIA,SAN JUAN IXHUATEPEC,,,,54180,15,MÉXICO                      ,Tlalnepantla de Baz,1,Tlalnepantla,1419,46,,SOCOPROJA@PRODIGY.NET.MX,,Fijo,19.51923435,-99.10354383,2010-07
331510,104,Altzairu,ALTZAIRU,FUNDICIONES ALTZAIRU,2169,54180,15,1,6355391,15104331510000123002000000U1,CONEXIONES SANITARIAS DE INOXIDABLE,,Moldeo por fundición de piezas de hierro y acero,11 a 30 personas,AVENIDA,POPOCATÉPETL,CALLE,CERRO DE LA CARBONERA,CALLE,DIVISIÓN DEL NORTE,CALLE,DIVISIÓN DEL NORTE,7,,,,0,,COLONIA,DR JORGE JIMENEZ CANTU,,,,54190,15,MÉXICO                      ,Tlalnepantla de Baz,1,Tlalnepantla,1156,21,,CNEXIONESJOSE@HOTMAIL.COM,,Fijo,19.541508,-99.090361,2010-07
331510,104,Altzairu,ALTZAIRU,FUNDICIONES ALTZAIRU,2169,54180,15,1,6695762,15104336350000051000010142S0,DANA MÉXICO CORPORACIÓN S DE RL DE CV  DIVISIÓN AUTOMETALES,DANA DE MEXICO CORPORACION S DE RL DE CV,Moldeo por fundición de piezas de hierro y acero,101 a 250 personas,AVENIDA,AVENIDA DE LAS INDUSTRIAS,AVENIDA,LA PRESA,AVENIDA,HERMILO MENA,AVENIDA,RIO DE LOS REMEDIOS,24,,,,0,,COLONIA,SAN JUAN IXHUATEPEC,,,,54180,15,MÉXICO                      ,Tlalnepantla de Baz,1,Tlalnepantla,1387,13,,,,Fijo,19.52407995,-99.11881499,2016-01
331510,104,Altzairu,ALTZAIRU,FUNDICIONES ALTZAIRU,2169,54180,15,1,2293774,15104331510000141001000000U3,TRANSFORMA ACEROS DE MÉXICO,TRANSFORMA ACEROS DE MÉXICO ,Moldeo por fundición de piezas de hierro y acero,31 a 50 personas,PRIVADA,SAN JOSE,CALLE,SAN ÁNGEL,CALLE,SAN JOSE,CERRADA,SAN MARCOS,11,5,,,,,COLONIA,SAN ISIDRO IXHUASTEPEC,,,,54180,15,MÉXICO                      ,Tlalnepantla de Baz,1,Tlalnepantla,1387,2,,,,Fijo,19.52468854,-99.10266485,2014-12
