,Nombre,PáginaWeb,Calificación,Reviews,FechaReviews,sentimiento
0,Proveedora HyH,https://phyh.mx/,4.5,"muy buen lugar limpio y seguro,excelente ambie...","Hace 7 meses,Hace 5 meses,Hace un año,Hace 9 m...",0.9148
1,Forrajes Barajas S.A. de C.V.,https://m.facebook.com/profile.php?id=10000718...,4.6,"muy buena atencion y rapido,muy buena atencion...","Hace 5 meses,Hace 7 meses,Hace un año,Hace 11 ...",0.7496
2,Agropecuaria el Avion SPR DE Rl,http://www.elavion.com.mx/,4.2,excelente lugar de trabajo con las mejores pre...,"Hace 2 años,Hace 2 años,Hace 3 años,Hace 3 año...",0.836
3,Forrajes Barajas S.A. de C.V.,https://m.facebook.com/profile.php?id=10000718...,4.6,"muy buena atencion y rapido,muy buena atencion...","Hace 5 meses,Hace 7 meses,Hace un año,Hace 11 ...",0.7496
4,"Industrias Memper, S.A. de C.V.",http://www.memper.com.mx/,4.3,me gusta el trabajo y la esperiencia es increi...,"Hace 3 años,Hace 3 años,Hace 5 meses,Hace 3 años",0.5859
5,Sociedad Cooperativa De Produccion Jacarandas,,4.8,"excelente servicio y confidencialidad, felicid...","Hace 2 años,Hace 3 años,Hace un año,Hace 7 meses",0.5719
6,Dana de México Corporación S de RL de CV,http://www.dana.com/,4.6,"es una chingoneria esto del gps,tardan mucho e...","Hace 6 años,Hace 2 años,Hace 3 años,Hace 4 año...",0
7,Transforma Aceros,https://www.transformaaceros.com/,2.3,"desgraciadamente la roladora que compre ahi, f...","Hace 3 años,Hace 4 años,Hace 3 meses",-0.34
8,CGR DE MEXICO Planta 1,https://cgrdemexicoplanta1.negocio.site/?utm_s...,1,lo peor en embarques 6 horas de espera para nada,Hace un mes,-0.6249
9,Veltix Real Estate,http://veltixrealestate.com/,5,servicio profesional y excelente asesoramiento...,"3 semanas atrás,Hace un año,Hace 4 años,Hace 4...",0.5719
10,"Aceros Titán, S.A. De C.V.",http://www.acerostitan.com/,4.1,"los mas lentos del mundo, servivio de la bascu...","Hace un año,Hace 3 meses,Hace un año,Hace 4 añ...",0
11,Cementos Y Trefilados Del Noroeste,,3.2,"no visite el lugar. estuve enfrente,,,,,","Hace 9 meses,Hace 2 años,Hace 2 años,Hace 4 añ...",0
12,Multi Turn Precision Industries - KKSP México,http://www.kksp.com/,4.4,"excelente atencion al entregar en almacen,es u...","Hace un año,Hace 6 meses,Hace un año,Hace 2 añ...",0.5719
13,SPIROL México,https://mx.spirol.com/,4.2,"buen servicio,excelente trato a proveedores......","Hace un año,Hace 6 meses,Hace 2 años,Hace 2 añ...",0.765
14,Servicios para la Industria Embotelladora S.A.,https://servicios-para-la-industria.negocio.site/,4.3,"lo mejor.,(traduccion de google) ben\n(origina...","Hace 3 años,Hace 4 años,Hace 8 meses,Hace 2 añ...",0
15,"Alfa Troquelados Y Formaciones, S.A. De C.V.",http://www.alfatroquelados.com.mx/,2.3,yo vivia ahi hace 40 anos con mi papa bernardi...,"Hace un año,Hace un año,Hace 4 años",0
16,Prottsa S.A. de C.V.,,4.3,"el numero que tienen no esta actualizado, marc...","Hace un mes,Hace 6 meses,Hace un año,Hace un a...",0.0772
17,OKILA S.A. de C.V.,https://okila.net/,4.5,claramente se nota que el guardia no sabe de a...,"Hace 9 meses,Hace un año,Hace un año,Hace 10 m...",0.4019
18,Blokasa Materiales S.A. de C.V.,http://www.blokasa.com/,4.6,tienen todo el material que necesitaba a buen ...,"Hace 3 años,Hace 2 años,Hace 2 años,Hace 3 año...",0.4404
19,Conductores Del Norte S.A. de C.V.,http://www.cnorte.com.mx/,4.2,"muy rapida la busqeda,,,,,","Hace 6 años,Hace 4 años,Hace 6 años,Hace 6 año...",0
20,MC Distribuidora Eléctrica,https://mcdistribuidoraelectrica.com.mx/,4,"muy buen servicio del personal,buen surtido,bu...","Hace 2 meses,Hace 4 meses,Hace 6 años,Hace 9 m...",0.7496
21,Steren Tezozómoc,https://www.steren.com.mx/,4.2,los chicos que atienden en esta tienda no tien...,"Hace 3 meses,Hace 4 meses,Hace un año,Hace 5 m...",0
22,Grupo SATA Seguridad y Monitoreo,http://www.gruposata.com/,4.4,"excelente servicio! totalmente recomendado,hoy...","Hace 2 años,Hace 11 meses,Hace un mes,Hace 3 a...",0.4415
23,Corporativo Inalarm,https://inalarm.mx/,4.4,sin duda el mejor distribuidor de equipo de se...,"Hace 3 años,Hace 3 años,Hace 3 años,Hace 3 año...",-0.3089
24,"Beryhuert, S.A de C.V.",,3.6,,,0
25,"Grupo Papelerama, S.A. De C.V.",,3.4,"esta en una ubicacion accesible, es una tienda...","Hace 11 meses,Hace 4 años,Hace 10 meses,Hace 8...",0
26,GRUPO VEMM COMPUTO SA DE C.V,http://www.grupovemm.com/,4.2,"pues, la verdad no me fue muy bien con ellos, ...","Hace 2 meses,Hace 3 años,Hace 2 meses,Hace 5 m...",0.3333
27,Comercializadora de Valor Agregado S.A. de C.V.,http://www.grupocva.com/,4.3,un exlentmayorista de equipo de computo tiene ...,"una semana atrás,2 semanas atrás,Hace un mes,H...",0
28,Informatica y Computo 2010,http://plazadelatecnologia.com/,"(,)",,,0
29,COMPUFAX,https://compufax.com.mx/,4.6,vi un producto en mercadolibre y me contacte e...,"Hace 4 meses,Hace 2 meses,Hace 3 meses,Hace 5 ...",0
30,The Vape Lord,http://www.thevapelord.com/,5,excelente servicio y un trato al cliente inmej...,"Hace 7 meses,Hace 8 meses,Hace un año,Hace 3 a...",0.5719
31,Distribuidora de Suministros,https://suministrosag.mx/,4,"deseo facturar un ticket del mes de junio, a d...","Hace 3 años,Hace 9 años,Hace 3 años,Hace 5 año...",0.0772
32,Estacion De Servicio El Capitan Sa De Cv,,"(,)",,,0
33,Grupo García Montaño SA de CV,,5,",,","Hace 4 años,Hace 4 años,Hace 3 años",0
34,Cimprotek Mexico,http://www.cimprotek.com/,4.7,"muy buen servicio y excelentes equipos.,excele...","Hace 3 años,Hace 6 meses,Hace 2 años",0.8718
35,ATELIER MUMMENTHEY S.A. DE C.V.,,4,,Hace 2 años,0
36,Saya+ Arquitectos S.C.,http://www.sanchezarquitectos.com/,4.8,,,0
37,SEMINSA Servicios Múltiples Industriales S.A. ...,,"(,)",,,0
38,Aramark México SA de CV,http://www.aramark.com.mx/,3.7,"el peor comedor industrial que he probado, con...","Hace 2 meses,Hace 3 meses,Hace 3 meses,Hace 6 ...",-0.6249
39,Intecnia,http://intecnia.com.mx/,4,"vanguardistas, comprometidos, especialistas en...","Hace un mes,Hace 4 años,Hace 3 años,Hace 3 año...",0.2732
40,Enseñanza E Investigacion Superior Ac,,"(,)",,,0
