,Nombre,PáginaWeb,Calificación,Reviews,FechaReviews,sentimiento
0,"0.-Perfiherrajes Immsa, S.A. de C.V.",https://phimmsa.com.mx/,4.6,,,0.0
1,2.-Frenos y Refacciones Vallejo,http://www.frevasa.com.mx/,4.7,"muy buen trato encontre lo q buscaba,excelente atencion y servicio. muy recomendable.,muy buen servicio, gente muy amable,buen servicio, tecnicos especializados!!,especialista en frenos desde auto hasta camion,excelente servicio,muy buen lugar,bien,servicio de frenos! desde autos hasta camiones!,personal muy amable,se la rifan los maestros,,los.mejores del.rumbo recomendado al 100,bien!!!!,me encanto,de lo mejor,,,,,,,,,,,,,,,,,,,","Hace un mes,Hace 10 meses,Hace un año,Hace 2 años,Hace un año,Hace un año,Hace un año,Hace 8 meses,Hace 4 años,Hace 5 años,Hace un año,Hace 8 meses,Hace 3 años,Hace 2 años,Hace 3 años,Hace 3 años,Hace 2 años,Hace 2 años,Hace 4 años,Hace 11 meses,Hace 2 años,Hace 2 años,Hace 2 años,Hace un año,Hace un año,Hace 2 meses,Hace un año,Hace 2 años,Hace 3 años,Hace 2 años,Hace 6 meses,Hace 2 años,Hace 11 meses,Hace un año,Hace 6 meses",0.8492
2,3.-SERVICIOS ESPECIALES JUAN PABLO S.A. DE C.V.,,4.7,"excelente servicio!!,buen servicio,excelente su servicio para cualquier marca de camion,excelente servicio,por su excelente servicio,me gusta la atencion,muy profecionales.,,,,,,,,,,,,","Hace 11 meses,Hace 2 años,Hace 7 años,Hace 3 años,Hace 5 años,Hace 3 años,Hace 2 días,Hace 10 meses,Hace 2 años,Hace un año,Hace 2 años,Hace un año,Hace 4 años,Hace 3 meses,Hace un año,Hace 2 años,Hace 7 meses,Hace 2 años,Hace 2 años",0.78075
3,4.-Electronica Saturno de Colima S.A. de C.V.,https://electronicasaturno.com/,4.3,"me arreglaron una bocina muy bien atendida. cierran para comer el taller. ademas el chico muy amable me enseno ademas a ecualizar mi bocina.,es una excelente universidad, cuenta con diversidad de carreras a nivel licenciatura y ademas postgrados, en horarios y planes de estudios muy accesibles, muy recomendable para quien quiere estudiar,tradicional colima, uno de los mejores servicios en electronica, no solo encuentras servicio de reparacion, las mejores marcas y atencion personalizada para resolver tus problemas de aparatos electricos y consejos de profesionales.,pesimo servicio, ni siquiera se hacen responsable de tu televisor si ""accidentalmente rompen el display en la revision"" en pocas palabras no tienen los conocimientos de reparacion adecuada, no arriesguen su dinero.,buen trato, excelente servicio.,ya van dos veces que hablo para ver si pueden apoyarme a reparar algo de electronica. primero un monitor y despues un simple cable... la respuesta que recibi en ambas ocasiones fue ""no, es que eso esta muy dificil"" ... una pregunta al,muy atentos dispuestos a ayudar...,si, es el unico lugar abierto en contingencia, aparte de que no tienen ninguna medida de seguirdad la senora que tienen trabajando en mostrador es la persona mas mal educada mas grosera y nefasta posible, "" usted no sabe"" ( disculpe,es un lugar con un amplio surtido pero sus precios son elevados casi el doble que su competencia,un clasico paro los que buscan refacciones de audio y electronica, les falta mas variedad en sus productos y una pequena actualizada al negocio, no dejan de ser uno de los mejores,es un local que tiene ya tiempo trabajando cuenta con refacciones para todo tipo de electrodomesticos y electronicos sus precios son accesibles y cuenta con tallar de reparaciones a un lado atendido por el propietario.,encuentras casi de todo en cuanto a electronica,gran variedad de materiales ... buena atencion al cliente recomendada,muy buen surtido y excelente servicio,es un lugar donde puede acudir y buscar piezas que necesitas para arreglar tu ventilador tu microondas o cualquier aparato tambien venden bocinas de todo tipo hasta de perifoneo o di prefieres tambien puedes llevar tu pantalla arreglar ahi ya que cuentan con un taller,buen servicio y buen surtido de partes pero dan muy caro,exelente servicio,buena atencion y servicio los precios un poco caros peroo en general bien.,son unos rateros le quitan piezas a tu equipo, no lleven sus equipos a este cochinero de negocio.
mi peor experiencia que pude tener, raturno sin duda todos lo llaman.,tienen muchas cosas pero les falta personal capacitado para revisar algunos aparatos o tarjetas de circuitos,muy buen surtido y atencion,buen surtido de productos de la actualidad asi como productos que otros lugares no he encontrado como pastillas para tornamesas, bandas de hule, etc.,calidad servicio rapidez seriedad profesionalismo y honestidad!!!,buen servicio y bien surtido,muy buen servicio ,muy buen surtido en refacciones para electronicos recomendable.,excelente surtido, precios mas elevados que en el resto de negocios de electronica.,senti que los precios son mas altos que en otros similares, y un poco decadente la atencion del personal de mostrador,personal muy amable y buenos precios. encontre todo lo que buscaba.,extenso surtido en la tienda y muy buena atencion y mejor musica ambiental!!!,muy buena atencion, asesoria y precios.,excelente servicio,el lugar donde encuentras todo en electronica uno de los negocios mas antiguos de la ciudad,el mejor lugar para comprar partes electronicas ,como siempre buen trato y gran surtido,tienen buen surtido de componentes de audio y muy buena atencion.,tiene de todo un poco e. electronica y buen servicio,buen servicio y variedad en la tienda.,excelente servicio my amable atencion,muy surtido, buena asesoria y buenos precios,buenos precios y buena atencion,buen servicio y excelente surtido , te orientan correctamente,un buen lugar para comprar equipos electronicos y refacciones,excelente muy buena, electronica con auxiliar de ing. electronica. 1000% recomendada,no tienen cuidado con los aparatos electronicos. llegue con una television con problemas en el encendido y rompieron el panel.,muy bien atendido exelente personal,excelente servicio y seleccion.,no saben dqr un buen servicio,amplia variedad de circuitos integrados (yo encontre unos ttl) f
dificil de encontrar,muy buena atencion a los clientes,mejor precio que en otras tiendas y te asesoran con reparaciones.,excelente servicio, me resolvieron el problema,muy buen servicio gran amabilidad,hasta el momento siempre encuentro ahi todo lo que busco. ,gran surtido en refacciones y componentes electronicos,muy buen surtido,me encanta esta tienda, tiene de todo,todo lo que ocupas para tu orquesta o tu banda microfonos conectores consolas,muy bien tienen lo que busca uno,muy caro,unico lugar en colima donde encuentras todo en refacciones y accesorios de electronica.,muy buen servicio,excelente tienda me encanta,calidad y servicio.,mucho surtido encontre un cargador que no podia conseguir,buenos y precio justo,muy bien,es caro pero la atencion es personalisada,buen servicio,muy buen servicio,atienden bien, pero son lentos,es lo mejor que hay en electronica en colims,muy surtido.,amplio surtido,buen lugar de electronica,buena atencion.,muy surtido,mal todo mal,servicio que deja mucho que decear,fatal en todo...buuuu,la atencion es excelente,de lujo,encuentras lo que en otras electronicas no,muy completa,si hay,exelente,bien,buen lugar,sin comentarios,raturno,(traduccion de google) llenar
(original)
fakiu,(traduccion de google) super
(original)
super,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","Hace un mes,3 semanas atrás,Hace 2 meses,Hace 9 meses,Hace 2 meses,Hace un año,Hace 3 meses,Hace 2 años,Hace 11 meses,Hace un año,Hace un año,Hace 4 años,Hace un año,Hace un año,Hace 2 años,Hace un año,Hace 5 meses,Hace un año,Hace 2 años,Hace 2 años,Hace 2 años,Hace 2 años,Hace un año,Hace un año,Hace 9 meses,Hace 2 años,Hace 3 años,Hace 2 años,Hace 4 años,Hace 4 años,Hace 2 años,Hace 8 meses,Hace un año,Hace un año,Hace 2 años,Hace 5 años,Hace 2 años,Hace 2 años,Hace 2 años,Hace 5 años,Hace un año,Hace 4 años,Hace 4 años,Hace 4 años,Hace 5 años,Hace 3 años,Hace un año,Hace 2 años,Hace 4 años,Hace 4 años,Hace 3 años,Hace 3 años,Hace 4 años,Hace 3 años,Hace 5 años,Hace 5 años,Hace 5 años,Hace 2 años,Hace 4 años,Hace un año,Hace 5 años,Hace 3 años,Hace 5 años,Hace un año,Hace 4 años,Hace un año,Hace 2 años,Hace 2 años,Hace un año,Hace 5 años,Hace 4 años,Hace 6 años,Hace 3 años,Hace 3 años,Hace 5 años,Hace 3 años,Hace 5 años,Hace 2 años,Hace 6 años,Hace 2 años,Hace 3 años,Hace 2 años,Hace 3 años,Hace 3 años,Hace 2 años,Hace 2 años,Hace 2 años,Hace 6 años,Hace un año,Hace 2 años,Hace 2 años,Hace 4 años,Hace 3 años,Hace 3 años,Hace 4 años,Hace 3 años,Hace un año,Hace 2 años,Hace 3 años,Hace 10 meses,Hace 7 meses,Hace 2 años,Hace 3 años,Hace 3 años,Hace 3 años,Hace 2 años,Hace 3 años,Hace un año,Hace un año,Hace 5 años,Hace 3 años,Hace 6 meses,Hace 2 años,Hace 11 meses,Hace 2 años,Hace 2 años,Hace 3 años,Hace 3 años,4 semanas atrás,Hace 3 años,Hace un año,Hace 4 años,Hace 2 años,Hace un año,Hace 4 años,Hace 4 años,Hace 3 años,Hace 3 años,Hace 5 años,Hace un año,Hace 3 años,Hace 4 años,Hace 4 años,Hace 7 meses,Hace 2 años,Hace un año,Hace 3 años,Hace 3 años,Hace 3 años,Hace 4 años",0.0
4,5.-Ingeniería Mecánica de Puebla.,http://www.impsa.com.mx/,4.7,",,","Hace 4 años,Hace 5 años,Hace 6 años",0.0
5,8.-Papeleria y Merceria Olivo SA de CV,,4.3,"buen trato y servicio mis respetos para la gente que te apoya yo me estaba estresando de tanta gente que habia pero la atencion fue rapida en mi caso hasta cotorreo con las empleadas para hacer mas amena la espera,esta surtido, la chica que me atendio era muy amable normalmente son medio sangronas pero ella fue muy atenta y se agradece mucho ese trato,se trata de un local muy bien surtido con articulos de papeleria y merceria, muy buena opcion.,tiene muy bien surtido me gusta comprar ahi,es un buen lugar, muy surtido... y muy concurrido, ya que es una papeleria grande y centrica por aseo decirlo ... tiene buena ubicacion,atencion muy amable eficiente y rapida, lo malo que esperamos al ultimo momento para comprar espere casi 1 hora para mi compra pero la atencion de las chicas lo vale,un lugar tan tradicional de azcapotzalco, para surtir tu lista de utiles para inicio escolar. antes estaba mas surtido, pero con la pandemia todo negocio se ha visto mermado.,buen surtido, solo hay precios muy elevados en algunos articulos.,quiero pensar que estaba muy cansada la senora que me atendio y por eso su actitud. esta papeleria era lo maximo.,servicio agil, ordenado y con medidas sanitarias, buen surtido y precios accesibles,no tienen tanta variedad pero en general para cosas basicas esta bien,buen servicio y surtido. siempre atentos.,desde nino he comprado los utiles o articulos de papeleria, hijos y ahora de mis nietos.,excelente muy buena atencion!,muy buen servicio.,de los pocos lugares que wn su merceria encuentras hilo para bordar dmc,excelente surtido emuy buenos precios felicidades,muy buen surtidor de papeles,una papaleria muy completa y de muxhos anos de experiencia,buen servicio, trato justo,va de mal en peor, precios muy caros te venden lo que quieren... no hay devolucion.. es mejor ir al office.. manejo del acceso por contingencia pesimoo.. te piden hacer fila y atienden de 1 persona... muy mal terrible... pesimo y caro,excelente servicio,excelente atencion de las sritas,cuenta con un amplio surtido,,(traduccion de google) aaa
(original)
aaa,,,,,,,,,,,,,,,,,,,,","Hace un mes,Hace 2 meses,una semana atrás,Hace 3 días,Hace un mes,Hace un mes,Hace 2 meses,Hace un mes,Hace un mes,Hace un mes,Hace un mes,una semana atrás,Hace un mes,Hace un mes,Hace un mes,Hace 3 meses,Hace 6 meses,Hace 3 días,Hace 3 meses,Hace 4 meses,Hace un año,Hace 5 meses,Hace 8 meses,Hace 6 años,Hace un mes,Hace un mes,Hace un mes,Hace 6 años,Hace un mes,Hace 5 meses,Hace un mes,Hace un mes,Hace un mes,Hace 6 meses,Hace un mes,una semana atrás,Hace 6 meses,Hace un mes,Hace 5 meses,3 semanas atrás,Hace un mes,Hace 2 meses,Hace un mes,3 semanas atrás,Hace 5 años,3 semanas atrás",0.48331666666666667
6,9.-Corporativo Inteltex SA De CV,http://www.corporativointeltex.com.mx/,5,"excelente atencion, encontre lo que buscaba tienen de todo en telecomunicaciones, son master se samsung,buenos precios y atencion excelente.,exelente servicio","Hace un año,Hace 2 años,Hace un año",0.9325
7,"10.-CUMHISA, SA DE CV",http://cumhisa.com/,4.5,"exelente servicio,","Hace 3 años,Hace 9 meses",0.5719
8,14.-Tu casa limpia,http://tucasalimpia.com/,3,"las muchachas tienen buena disposicion pero no limpian las regaderas, y no estan capacitadas , hay que estarlas supervisando,no contestaron el telefono deberian de quitarlo demla busqueda,no atienden llamados despues de varios intentos,,,","Hace un mes,Hace 2 años,Hace 2 años,Hace 4 años,Hace 3 años,Hace 4 meses",-0.2351
9,17.-Génesis Computadoras,http://www.genesis.com.mx/,4.3,"excelente servicio y muy rapido,buen servicio en ploters hp,servicio confiable y professional,muy buen servicio. me repararon una impresora con una falla para alimentar el papel, en menos de 24 horas ya estaba lista.,muy buen servicio u atencion,ya habia ido pero ahora tiene mejores condiciones y mas surtidos,mala atencion al cliente, muy caros sus servicios,,buenas diciones en informatica,,,,,,,,,,,,,,,,","Hace 3 meses,Hace 3 meses,Hace un mes,Hace un año,Hace un año,Hace 2 años,Hace 3 años,Hace 9 meses,Hace 3 años,Hace 2 años,Hace 3 años,Hace un año,Hace 4 años,Hace un año,Hace 5 años,Hace un año,Hace 4 años,Hace un año,Hace 2 años,Hace 4 años,Hace 3 años,Hace 5 años,Hace 2 años,Hace un año,Hace 3 años",0.66025
